week	GCFlood2_1	GCFlood2_2	GCFlood2_3	GCFlood2_4	GCFlood2_5	GCFlood2_6	GCFlood2_7	GCFlood2_8	GCFlood2_9	GCFlood2_10
1	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
2	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
3	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
4	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
5	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
6	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
7	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
8	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
9	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
10	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
11	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
12	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
13	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
14	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
15	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
16	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
17	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
18	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
19	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
20	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
21	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
22	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
23	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	8999900
24	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	8892500
25	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	8785100
26	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	8677700
27	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	8570300
28	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9035300	8726550	8018550
29	9107300	9107300	9107300	9107300	9107300	9107300	9107300	8963300	8345800	7466800
30	9107300	9107300	9107300	9107300	9107300	9107300	9107300	8891300	7965050	6915050
31	9107300	9107300	9107300	9107300	9107300	9107300	9107300	8819300	7584300	6363300
32	8973050	8973050	8973050	8973050	8973050	8796550	8610800	8131550	6992550	5898800
33	8838800	8838800	8838800	8838800	8838800	8485800	8114300	7443800	6400800	5434300
34	8704550	8704550	8704550	8704550	8704550	8175050	7617800	6756050	5809050	4969800
35	8570300	8570300	8570300	8570300	8570300	7864300	7121300	6068300	5217300	4505300
36	8570300	8529550	8270050	8129550	7982800	7300050	6617050	5752550	4893300	4359300
37	8570300	8488800	7969800	7688800	7395300	6735800	6112800	5436800	4569300	4213300
38	8570300	8448050	7669550	7248050	6807800	6171550	5608550	5121050	4245300	4067300
39	8570300	8407300	7369300	6807300	6220300	5607300	5104300	4805300	3921300	3921300
40	8677700	8547300	7716900	7267300	6797700	6307300	5904900	5665700	4958500	4958500
41	8785100	8687300	8064500	7727300	7375100	7007300	6705500	6526100	5995700	5995700
42	8892500	8827300	8412100	8187300	7952500	7707300	7506100	7386500	7032900	7032900
43	8999900	8967300	8759700	8647300	8529900	8407300	8306700	8246900	8070100	8070100
44	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
45	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
46	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
47	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
48	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
49	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
50	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
51	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
52	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300	9107300
