week	Draft1	Draft2
1	8756187	8688922
2	8639117	8549430
3	8522046	8409937
4	8404975	8270445
5	8287904	8130952
6	8378948	8239435
7	8469992	8347918
8	8561036	8456401
9	8652080	8564884
10	8743124	8673368
11	8834168	8781851
12	8925212	8890334
13	9016256	8998817
14	9107400	9107400
15	9107400	9107400
16	9107400	9107400
17	9107400	9107400
18	9107400	9107400
19	9107400	9107400
20	9107400	9107400
21	9107400	9107400
22	9107400	9107400
23	9107400	9107400
24	9107400	9107400
25	9107400	9107400
26	9107400	9107400
27	9107400	9107400
28	9107400	9107400
29	9107400	9107400
30	9107400	9107400
31	9107400	9107400
32	9107400	9107400
33	9107400	9107400
34	9107400	9107400
35	9107400	9107400
36	9107400	9107400
37	9107400	9107400
38	9107400	9107400
39	9107400	9107400
40	9107400	9107400
41	9107400	9107400
42	9107400	9107400
43	9107400	9107400
44	9107400	9107400
45	9107400	9107400
46	9107400	9107400
47	9107400	9107400
48	9107400	9107400
49	9107400	9107400
50	9107400	9107400
51	8990329	8967907
52	8873258	8828415

