week	GrandCoulee
1	3921900
2	3921900
3	3921900
4	3921900
5	3921900
6	3921900
7	3921900
8	3921900
9	3921900
10	3921900
11	3921900
12	3921900
13	3921900
14	3921900
15	3921900
16	3921900
17	3921900
18	3921900
19	3921900
20	3921900
21	3921900
22	3921900
23	4488260
24	5054620
25	5620980
26	6187339
27	6753699
28	6956311
29	7158922
30	7361534
31	7564145
32	7800574
33	8037004
34	8273434
35	8509863
36	8529202
37	8548541
38	8540508
39	8532475
40	8632243
41	8732012
42	8831780
43	8931549
44	9031317
45	9050338
46	9069359
47	9088379
48	9107400
49	9107400
50	9107400
51	9107400
52	9107400


